object,ra,dec,sma1_25p5,pa1_25p5,ellip1_25p5,sma1_26p5,pa1_26p5,ellip1_26p5,sma2_25p5,pa2_25p5,ellip2_25p5,sma2_26p5,pa2_26p5,ellip2_26p5,mag1,emag1,mag2,emag2,sky1,ssky1,esky1,sky2,ssky2,esky2,c31_1,c42_1,c31_2,c42_2,mabs1,mabs2,mstar,dmean,dstd,dmin,dmax,dmed,type,bar,ring,multiple,compactness,t,e_t,lc,e_lc,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,ube,bve,vmaxg,e_vmaxg,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,lambda,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,mod0,mabs,summary,x,y,z,spt_ind,cntr
NGC4631,190.532527,32.542906,531.9,87.1,0.753,813.7,89.6,0.752,478.2,87.1,0.65,902.5,-86.1,0.651,8.71,0.001,9.031,0.003,0.01151,0.008907,0.002989,0.00728,0.013524,0.005296,4.171,3.773,4.545,3.99,-20.199,-19.878,10.127,6.05,1.584,4.0,7.62,6.29,SBcd,B,,,,6.6,0.7,5.0,0.5,2.16,0.023,0.818,0.048,63.27,21.723,0.419,9.471,0.254,,,,0.56,-0.06,0.58,138.37,3.58,,,,,11.043,0.142,8.182,600.6,3.3,625.6,6.7,605.3,7.3,0.074,1.415,90.0,0.83,1.118,2.134,7.98,,0.386,22.431,138.37,,10.217,2.237,592.2,625.7,786.1,867.1,30.403,29.416,-22.423,"<a href=""/data/SPITZER/S4G/galaxies/NGC4631.html"">Data Access</a>",-0.8287855802266646,-0.154093045505428,0.5379310321362888,212231110,1252
NGC4632,190.6333,-0.082499,100.4,58.9,0.54,118.9,58.9,0.571,98.9,58.4,0.579,114.8,57.3,0.581,11.527,0.001,11.924,0.001,0.092974,0.0152,0.001499,0.108049,0.015154,0.001532,2.953,2.914,2.896,2.861,-19.811,-19.414,10.028,18.518,4.003,14.2,27.4,17.4,Sc,,,,,5.1,0.7,3.9,0.4,1.408,0.027,0.416,0.014,58.51,,,12.281,0.447,10.806,0.072,,,,,101.51,1.43,,,,,13.539,0.11,11.432,1719.3,3.1,1701.6,19.3,1718.9,2.9,0.104,0.7,70.46,0.05,0.862,1.401,11.467,,,22.278,107.72,1.53,13.489,2.022,1548.9,1633.2,1752.5,2052.7,32.067,,-20.6,"<a href=""/data/SPITZER/S4G/galaxies/NGC4632.html"">Data Access</a>",-0.9828272527797286,-0.1845224049887505,-0.0014398786820641,120002000,1253
NGC4633,190.65578,14.357223,81.4,37.6,0.585,93.6,38.8,0.565,74.7,35.3,0.6,83.8,36.5,0.556,13.308,0.002,13.751,0.01,0.078879,0.015163,0.002124,0.129509,0.015472,0.001668,2.624,2.628,2.722,2.712,-18.463,-18.02,9.523,22.6,,22.6,22.6,22.6,SABd,B,,M,,7.9,1.0,7.0,3.2,1.248,0.055,0.375,0.04,33.55,,,13.768,0.066,12.743,0.373,,0.64,-0.14,0.56,81.2,2.39,,,,,15.15,0.164,,288.9,4.1,301.5,2.4,298.3,4.2,0.122,0.684,86.06,0.24,1.503,1.244,12.961,,0.54,22.988,81.39,2.42,14.915,1.953,193.9,258.2,401.5,612.4,,31.766,-18.805,"<a href=""/data/SPITZER/S4G/galaxies/NGC4633.html"">Data Access</a>",-0.9520629226155152,-0.1791332460927714,0.2479666742227071,212311011,1254
NGC4634,190.6695,14.2983,108.1,-22.8,0.724,114.8,-25.1,0.638,102.8,-21.7,0.728,108.8,-20.5,0.684,11.609,0.001,11.986,0.001,0.084082,0.012008,0.001689,0.251567,0.013941,0.00182,3.022,2.995,3.029,2.956,-16.415,-16.038,8.655,,,,,,SBc,B,,M,,5.9,0.4,,,1.392,0.047,0.616,0.047,156.97,,,13.162,0.165,14.293,1.901,,0.77,0.16,0.7,120.01,4.12,,,,,15.353,0.107,11.422,118.0,4.2,232.8,3.7,183.0,40.3,0.12,1.056,80.54,0.1,,1.379,11.984,,0.628,22.682,121.66,4.19,15.252,3.267,78.3,142.8,285.9,497.2,,31.51,-19.526,"<a href=""/data/SPITZER/S4G/galaxies/NGC4634.html"">Data Access</a>",-0.9522700970356645,-0.1794083395667016,0.2469702613384967,212311011,1255
NGC4635,190.663404,19.945292,80.9,-10.1,0.342,94.3,-13.4,0.301,75.3,-5.2,0.367,85.3,-5.2,0.305,12.87,0.002,13.322,0.006,0.06045,0.013338,0.002005,0.033666,0.012776,0.001844,2.664,2.652,2.623,2.62,-18.985,-18.533,9.738,23.5,,23.5,23.5,23.5,SABc,B,,,,6.6,0.7,4.9,0.6,1.288,0.051,0.142,0.032,2.95,,,13.436,0.446,12.852,0.279,,,,0.6,66.01,2.0,,,,,15.473,0.123,13.516,957.4,6.0,949.0,5.0,952.4,4.0,0.119,0.255,44.65,0.02,1.15,1.294,13.058,,,23.333,93.93,2.97,15.452,2.394,875.4,930.8,1081.0,1253.5,31.03,,-17.972,"<a href=""/data/SPITZER/S4G/galaxies/NGC4635.html"">Data Access</a>",-0.9237857551294012,-0.1739400969549661,0.3411227364033347,212312223,1256
NGC4636,190.707725,2.687788,,,,,,,348.6,-23.5,0.374,368.6,-28.1,0.334,,,9.552,0.001,0.085411,0.026451,0.012814,0.332562,0.037188,0.0021,,,5.367,4.513,,-21.5,,16.24,2.735,11.5,23.3,15.55,E,,,,,-4.8,0.5,,,1.803,0.027,0.131,0.03,149.65,,,10.429,0.181,9.679,0.795,0.44,0.94,0.5,0.91,217.25,15.96,203.14,3.45,0.294,0.004,15.33,0.266,,1094.4,17.2,919.7,3.1,925.3,21.9,0.124,0.0,64.36,0.04,,1.817,10.291,0.416,0.903,23.297,240.98,18.06,15.291,5.0,767.2,848.1,972.7,1256.8,30.783,30.588,-20.492,"<a href=""/data/SPITZER/S4G/galaxies/NGC4636.html"">Data Access</a>",-0.9815068026628391,-0.1855946971485414,0.0468935466446293,212032013,1257
NGC4639,190.718303,13.257456,99.1,-51.6,0.36,113.3,-42.0,0.325,94.3,-56.1,0.391,112.7,-45.3,0.372,11.327,0.001,11.785,0.001,0.047976,0.009059,0.002745,0.054065,0.010819,0.001682,3.934,3.837,4.135,4.019,-20.42,-19.962,10.317,22.356,2.66,16.1,32.1,21.9,Sbc,B,R,,,3.5,0.7,3.8,0.6,1.458,0.033,0.183,0.046,136.64,,,12.194,0.055,10.557,0.218,0.08,0.706,0.233,0.864,128.85,2.46,86.96,4.96,,,14.512,0.139,12.466,979.5,4.8,1003.3,5.7,989.3,8.7,0.112,0.285,51.02,0.03,0.735,1.461,11.79,0.028,0.64,22.901,165.75,3.4,14.485,2.695,879.7,945.8,1087.5,1305.5,31.03,31.635,-19.24,"<a href=""/data/SPITZER/S4G/galaxies/NGC4639.html"">Data Access</a>",-0.9563678206119609,-0.1810240117849056,0.2293270565267575,212311031,1258
NGC4641,190.781898,12.051248,71.5,-7.6,0.082,96.5,0.9,0.109,68.2,4.2,0.231,80.5,-7.1,0.099,13.222,0.005,13.666,0.014,0.045757,0.012834,0.001714,0.101837,0.012765,0.001832,5.042,4.377,5.122,4.384,-19.137,-18.693,9.793,,,,,,S0,,,,,-2.0,0.4,,,1.107,0.037,0.086,0.027,167.41,,,14.214,0.359,12.641,0.21,,,,,16.67,0.99,,,,,17.642,0.244,,2018.9,5.5,2011.0,1.8,2011.8,2.1,0.144,0.0,40.57,0.02,,1.12,14.04,,,23.491,25.63,1.57,17.621,3.581,1896.5,1964.5,2104.4,2330.2,32.426,29.5,-18.386,"<a href=""/data/SPITZER/S4G/galaxies/NGC4641.html"">Data Access</a>",-0.9606967098212058,-0.1829481505423222,0.2087865080694961,212022003,1259
NGC4642,190.824095,-0.644271,61.7,37.2,0.642,66.0,37.5,0.609,58.3,36.5,0.651,63.3,36.8,0.586,13.005,0.001,13.413,0.001,0.091383,0.014385,0.001469,0.105335,0.014345,0.001537,2.824,2.813,2.794,2.8,-20.133,-19.724,10.166,42.414,3.639,35.8,45.7,42.8,SABb,B,,,,3.9,0.6,5.0,0.5,1.189,0.036,0.464,0.027,24.1,,,13.759,0.411,12.227,0.081,,,,,139.63,4.57,,,,,15.821,0.135,13.215,2644.5,4.4,2647.3,4.1,2646.0,2.4,0.107,0.717,74.8,0.06,0.841,1.181,12.918,,,22.635,144.69,4.75,15.758,2.839,2474.0,2559.1,2677.2,2979.7,32.973,,-20.054,"<a href=""/data/SPITZER/S4G/galaxies/NGC4642.html"">Data Access</a>",-0.9821462674615041,-0.1877825137808817,-0.0112444132603065,120031000,1260
NGC4643,190.833916,1.978357,164.3,56.0,0.205,204.7,83.3,0.234,157.8,52.6,0.251,195.6,55.5,0.282,9.966,0.001,10.486,0.001,0.044809,0.01169,0.003308,0.096,0.011779,0.001996,6.548,5.029,6.563,5.02,-22.083,-21.564,11.028,25.7,,25.7,25.7,25.7,S0-a,B,,,,-0.6,0.9,,,1.35,0.043,0.107,0.034,131.66,19.866,0.305,11.674,0.083,9.651,0.384,0.57,0.96,0.59,0.99,116.72,4.69,163.0,7.87,,,16.781,0.207,13.493,1330.2,6.5,1328.9,2.1,1329.1,1.4,0.132,0.002,42.92,0.02,,1.357,11.52,0.528,0.901,22.139,171.39,7.25,16.76,5.24,1168.2,1250.0,1373.1,1660.9,31.518,,-19.998,"<a href=""/data/SPITZER/S4G/galaxies/NGC4643.html"">Data Access</a>",-0.9815907218549609,-0.1878507052880786,0.0345219827215699,212032012,1261
NGC4647,190.885361,11.582566,,,,,,,103.9,81.5,0.277,107.3,78.3,0.26,,,11.209,0.001,0.212064,0.040938,0.065991,0.153323,0.051629,0.017739,,,3.181,3.151,,-20.103,,18.3,3.165,16.0,24.5,16.8,SABc,B,R,M,,5.2,0.5,5.9,0.6,1.439,0.033,0.066,0.036,148.53,,,12.084,0.148,,,0.29,0.65,0.44,0.78,70.29,2.43,97.6,38.75,,,15.188,0.138,11.107,1396.0,5.5,1414.7,25.4,1396.8,4.7,0.114,0.115,31.56,0.02,1.127,1.447,11.847,0.255,0.602,22.893,134.28,5.18,15.166,3.319,1279.6,1348.2,1487.4,1715.8,31.697,31.25,-19.85,"<a href=""/data/SPITZER/S4G/galaxies/NGC4647.html"">Data Access</a>",-0.9620097852557029,-0.184998990574175,0.2007798459975822,212022003,1262
NGC4651,190.927704,16.393353,155.8,73.8,0.341,196.9,73.8,0.341,137.6,74.2,0.332,173.0,74.2,0.348,10.404,0.001,10.867,0.001,0.040474,0.004145,0.001835,0.055239,0.006006,0.001331,3.377,3.377,3.319,3.339,-21.729,-21.266,10.844,26.708,5.565,14.9,32.7,27.8,Sc,,,M,,5.2,0.6,2.9,0.5,1.588,0.022,0.176,0.024,76.8,21.059,0.254,11.38,0.086,9.705,0.052,,0.57,0.135,0.755,168.63,2.65,,,,,13.266,0.112,11.089,799.5,2.9,799.4,10.0,799.5,2.0,0.116,0.304,49.54,0.02,0.815,1.592,10.955,,0.505,22.72,221.65,3.66,13.244,2.289,705.4,766.7,912.4,1108.7,30.694,31.85,-19.738,"<a href=""/data/SPITZER/S4G/galaxies/NGC4651.html"">Data Access</a>",-0.9419510475839832,-0.1818635726630279,0.2822301629763837,212311130,1263
NGC4653,190.962184,-0.561305,102.7,14.0,0.36,119.3,12.3,0.422,79.7,-12.3,0.201,105.7,-12.3,0.238,12.439,0.002,12.815,0.001,0.092163,0.021528,0.00318,0.105106,0.019265,0.002616,3.023,3.013,3.08,3.014,-20.582,-20.207,10.321,40.2,1.556,39.1,41.3,40.2,SABc,B,,,,6.0,0.4,6.8,2.0,1.364,0.024,0.046,0.021,15.27,,,12.812,0.113,12.238,0.532,,0.51,,,94.02,3.5,,,,,14.303,0.152,13.147,2630.2,5.2,2621.1,3.1,2623.5,3.4,0.105,0.082,26.36,0.02,1.293,1.372,12.614,,0.46,23.28,211.75,8.62,14.282,1.668,2452.0,2537.1,2655.2,2956.9,32.94,,-20.326,"<a href=""/data/SPITZER/S4G/galaxies/NGC4653.html"">Data Access</a>",-0.9817057952969366,-0.190151941300252,-0.0097964636555599,120031000,1264
NGC4654,190.985785,13.126684,227.4,-50.5,0.543,286.9,-45.4,0.588,194.1,-55.7,0.527,224.5,-55.7,0.527,10.161,0.001,10.583,0.001,0.042024,0.013186,0.003615,0.065502,0.035428,0.004501,2.977,3.019,2.946,2.992,-20.908,-20.487,10.485,16.362,1.916,12.2,19.3,16.1,Sc,B,R,,,5.9,0.4,3.0,0.4,1.674,0.023,0.278,0.027,121.19,,,11.029,0.147,10.163,0.728,-0.08,0.6,-0.005,0.66,129.05,1.89,,,,,13.317,0.121,10.147,1037.9,2.7,1048.7,3.3,1042.2,4.0,0.113,0.488,59.76,0.03,0.885,1.673,10.424,-0.141,0.515,22.594,149.37,2.25,13.284,2.86,932.4,998.8,1140.1,1358.1,31.107,30.694,-20.683,"<a href=""/data/SPITZER/S4G/galaxies/NGC4654.html"">Data Access</a>",-0.9560236373730976,-0.1855860321150023,0.2271048864901885,212311033,1265
NGC4656,190.99118,32.16941,315.1,34.7,0.845,379.2,35.9,0.825,273.8,34.9,0.838,366.9,34.9,0.838,11.853,0.003,12.197,0.004,0.02962,0.006316,0.002493,0.070332,0.009801,0.002075,3.256,3.2,3.217,3.135,-17.156,-16.812,8.927,6.335,1.223,5.47,7.2,6.335,SBm,B,,M,,9.0,0.7,6.9,0.4,1.81,0.024,0.99,0.028,35.38,21.652,0.335,9.833,0.676,13.111,0.971,,0.44,0.32,0.325,60.86,1.82,,,,,11.702,0.133,11.181,643.9,3.5,592.9,2.8,612.3,17.6,0.058,1.798,90.0,0.83,1.712,1.776,7.977,,0.213,20.627,60.86,,10.876,2.9,597.9,632.3,792.2,874.5,30.403,28.69,-22.426,"<a href=""/data/SPITZER/S4G/galaxies/NGC4656.html"">Data Access</a>",-0.8309502230089145,-0.1613876172519718,0.5324244208140403,212231220,1266
NGC4658,191.15731,-10.083328,66.8,2.4,0.412,75.9,23.5,0.202,61.7,-1.7,0.436,69.3,0.3,0.276,12.176,0.001,12.561,0.003,0.07602,0.013666,0.003483,0.07761,0.011901,0.00234,2.951,2.929,2.945,2.936,-20.335,-19.95,10.228,31.78,6.125,21.5,37.1,32.6,Sbc,B,,,,4.0,0.3,4.9,0.3,1.14,0.057,0.206,0.033,2.5,21.167,0.305,12.945,0.196,11.432,0.133,-0.06,0.51,-0.125,0.525,114.89,5.77,,,,,14.617,0.193,11.572,2394.7,5.7,2403.8,5.4,2399.4,4.3,0.184,0.332,53.53,0.03,0.893,1.149,12.413,-0.13,0.413,22.013,142.86,7.3,14.589,2.176,2190.9,2286.3,2384.2,2733.3,32.698,31.66,-20.284,"<a href=""/data/SPITZER/S4G/galaxies/NGC4658.html"">Data Access</a>",-0.9659457024913313,-0.1905145849185968,-0.1750802466637038,120030032,1267
NGC4659,191.122453,13.498538,77.5,14.9,0.314,81.9,19.6,0.117,72.0,12.7,0.328,81.5,14.2,0.32,11.99,0.001,12.479,0.001,0.081557,0.019585,0.00367,0.126683,0.020216,0.002469,5.394,4.449,5.458,4.466,-17.467,-16.978,9.159,,,,,,S0-a,,,,,0.0,0.4,,,1.243,0.026,0.15,0.023,173.19,,,13.063,0.142,11.641,0.116,,,0.37,0.88,,,,,,,,,,267.0,7.9,469.0,2.3,453.0,38.7,0.111,0.065,49.48,0.02,,1.246,12.88,,,22.921,,,,,345.2,411.1,552.8,767.8,29.67,,-16.789,"<a href=""/data/SPITZER/S4G/galaxies/NGC4659.html"">Data Access</a>",-0.954111880157728,-0.1875776266016701,0.2334205520950752,212311033,1268
NGC4666,191.285943,-0.461991,183.0,43.6,0.527,239.8,43.6,0.509,170.7,42.6,0.535,224.8,43.8,0.522,9.402,0.001,9.783,0.001,0.129815,0.012259,0.002651,0.385792,0.013047,0.002216,3.906,3.682,3.82,3.632,-21.901,-21.52,10.853,18.225,2.779,14.1,23.4,18.8,SABc,B,,,,5.1,0.7,3.8,0.9,1.696,0.019,0.402,0.039,39.8,20.966,0.316,11.453,0.136,9.46,0.052,,0.75,0.215,0.83,180.76,2.1,,,,,13.52,0.125,,1516.5,3.8,1522.6,5.7,1518.3,3.0,0.107,0.677,69.57,0.05,0.852,1.69,10.661,,0.641,22.917,192.9,2.3,13.473,2.812,1347.7,1433.0,1551.0,1850.9,31.809,30.98,-21.149,"<a href=""/data/SPITZER/S4G/galaxies/NGC4666.html"">Data Access</a>",-0.9806308233214007,-0.1956991914486131,-0.0080631766910302,120021000,1269
NGC4668,191.383344,-0.535808,56.0,7.7,0.427,73.3,11.8,0.475,52.1,4.8,0.441,58.5,6.9,0.367,13.31,0.004,13.738,0.002,0.088443,0.013976,0.001615,0.101721,0.015759,0.001423,2.442,2.507,2.415,2.476,-17.769,-17.34,9.235,16.433,1.872,14.3,17.8,17.2,SBcd,B,,,,7.4,2.2,5.9,0.6,1.201,0.031,0.238,0.026,2.88,,,13.54,0.078,12.483,0.53,,0.46,,,55.95,0.93,,,,,14.983,0.126,13.422,1619.9,5.2,1624.9,4.5,1622.7,3.0,0.106,0.433,63.85,0.04,1.335,1.202,12.995,,0.38,22.805,62.33,1.07,14.945,1.95,1452.0,1537.4,1655.2,1955.1,31.916,30.78,-18.921,"<a href=""/data/SPITZER/S4G/galaxies/NGC4668.html"">Data Access</a>",-0.9802857267239036,-0.1973637348926939,-0.0093514774551744,120021000,1270
NGC4680,191.728117,-11.637123,61.0,39.9,0.222,72.9,53.6,0.224,54.8,35.2,0.235,64.2,36.0,0.218,12.178,0.001,12.595,0.001,0.069809,0.012905,0.001642,0.066644,0.013008,0.001513,2.679,2.862,2.647,2.84,-20.641,-20.224,10.375,36.625,5.177,23.7,41.7,38.15,S0-a,,,,,0.0,1.7,,,1.134,0.031,0.255,0.04,38.71,,,13.893,0.586,11.47,0.077,,,,,127.9,11.69,,,,,16.42,0.28,11.829,2492.0,9.4,2491.3,10.3,2491.7,4.9,0.192,0.1,63.55,0.04,,1.141,13.564,,,23.151,142.85,13.17,16.383,2.818,2278.4,2375.7,2469.4,2823.5,32.77,,-19.205,"<a href=""/data/SPITZER/S4G/galaxies/NGC4680.html"">Data Access</a>",-0.9589970679731435,-0.1990895908490294,-0.2017125638984341,120330000,1271
NGC4682,191.814633,-10.063369,92.0,83.7,0.511,100.9,81.7,0.48,84.8,84.2,0.497,94.6,82.8,0.494,12.17,0.001,12.607,0.001,0.088086,0.012665,0.001382,0.205923,0.013134,0.001182,2.448,2.471,2.411,2.442,-20.425,-19.987,10.303,33.029,5.835,22.9,42.3,33.5,SABc,B,,,,5.8,0.7,4.9,0.8,1.412,0.031,0.338,0.03,84.33,,,13.115,0.205,,,,,,,133.19,5.48,,,,,15.056,0.18,13.179,2333.5,6.1,2307.0,7.1,2322.3,9.8,0.163,0.589,64.62,0.04,1.046,1.414,12.353,,,23.26,147.43,6.12,15.017,2.665,2114.8,2210.7,2308.0,2654.6,32.623,31.8,-20.271,"<a href=""/data/SPITZER/S4G/galaxies/NGC4682.html"">Data Access</a>",-0.963756153201097,-0.2015960439050309,-0.1747372663425425,120022002,1272
NGC4684,191.823046,-2.727365,117.2,23.6,0.587,145.4,28.5,0.564,109.5,23.9,0.613,127.0,23.9,0.584,11.269,0.001,11.718,0.001,0.10405,0.013435,0.001744,0.266521,0.014297,0.002451,5.054,4.303,5.229,4.317,-20.158,-19.71,10.205,19.3,7.333,12.7,27.4,18.55,S0-a,B,R,,,-1.1,0.9,,,1.473,0.043,0.489,0.061,16.25,,,12.077,0.282,10.646,0.252,,,0.31,0.9,103.37,4.87,107.66,9.7,0.139,0.006,,,12.869,,,1586.5,19.5,1586.5,19.5,0.119,0.0,90.0,0.83,,1.465,11.934,,,23.082,103.37,,,,1407.4,1495.7,1608.7,1918.9,31.863,30.65,-19.929,"<a href=""/data/SPITZER/S4G/galaxies/NGC4684.html"">Data Access</a>",-0.9776763489380254,-0.2046576774199825,-0.0475835244624731,120021320,1273
NGC4688,191.94382,4.335944,94.1,10.1,0.107,131.4,37.8,0.167,81.5,-27.7,0.169,104.6,20.1,0.13,12.791,0.011,13.477,0.018,0.056378,0.029267,0.003376,0.114868,0.041514,0.007472,3.294,3.25,2.913,2.897,-18.374,-17.688,9.667,17.1,,17.1,17.1,17.1,Sc,B,R,,,6.0,0.3,6.4,1.1,1.571,0.046,0.037,0.053,,,,13.508,0.682,,,,,,,20.88,0.62,,,,,13.901,0.1,13.063,984.0,3.6,986.0,1.2,985.8,0.9,0.133,0.066,23.68,0.02,1.254,1.582,13.305,,,25.028,51.98,2.14,13.88,0.575,837.0,916.6,1043.0,1312.8,30.951,,-17.646,"<a href=""/data/SPITZER/S4G/galaxies/NGC4688.html"">Data Access</a>",-0.9755508549873856,-0.2063601731823857,0.0756042872958725,212012201,1274
NGC4689,191.939893,13.762746,184.8,-15.6,0.182,,,,148.0,-15.3,0.22,168.3,-15.3,0.22,10.606,0.001,11.178,0.003,0.03793,0.013802,0.005832,0.06831,0.023714,0.005879,2.97,3.082,2.853,2.934,-20.657,-20.086,10.495,17.891,3.194,14.7,24.5,16.7,Sc,,,,,4.7,0.9,3.8,0.6,1.582,0.025,0.125,0.027,162.61,,,11.583,0.12,11.82,1.12,,0.65,,0.67,81.32,1.84,,,,,15.348,0.107,11.679,1618.5,4.0,1604.0,2.7,1608.6,5.0,0.098,0.212,42.55,0.02,0.862,1.586,11.265,,0.594,22.994,120.25,2.89,15.327,4.062,1503.3,1569.4,1710.7,1921.0,32.018,30.874,-20.753,"<a href=""/data/SPITZER/S4G/galaxies/NGC4689.html"">Data Access</a>",-0.9502754993606043,-0.2009455835999021,0.2379019708759235,212311012,1275
NGC4691,192.057963,-3.333361,124.8,29.4,0.15,145.9,-53.7,0.071,115.0,31.7,0.193,128.2,21.4,0.144,10.805,0.001,11.193,0.001,0.098326,0.016048,0.004528,0.26118,0.017757,0.00315,4.55,4.054,4.776,4.146,-20.956,-20.568,10.479,22.5,,22.5,22.5,22.5,S0-a,B,,,,0.3,0.9,,,1.482,0.028,0.091,0.021,28.0,20.349,0.305,11.682,0.185,10.478,0.597,-0.07,0.58,-0.275,0.44,27.63,1.52,,,,,15.839,0.18,10.291,1123.2,6.5,1126.0,2.6,1125.6,1.8,0.119,0.054,38.75,0.02,,1.49,11.492,-0.097,0.525,22.763,44.14,2.51,15.818,4.326,944.4,1033.5,1145.1,1457.6,31.181,28.483,-19.688,"<a href=""/data/SPITZER/S4G/galaxies/NGC4691.html"">Data Access</a>",-0.9762822256876098,-0.2085476890758742,-0.0581453109679483,120021123,1276
NGC4694,192.06271,10.983724,114.3,-41.4,0.22,132.4,-44.5,0.134,107.3,-34.3,0.304,127.1,-46.4,0.18,11.554,0.001,12.006,0.001,0.04935,0.004963,0.001686,0.084137,0.007334,0.00238,4.98,4.415,4.997,4.399,-19.37,-18.918,9.892,15.302,4.967,9.81,21.4,15.0,S0,B,,,,-2.0,0.5,,,1.3,0.035,0.256,0.03,132.19,,,12.289,0.182,10.84,0.1,0.22,0.63,0.22,0.67,46.9,1.61,61.05,3.67,0.059,0.018,15.711,0.164,12.806,1181.8,4.3,1189.0,10.0,1182.9,3.3,0.168,0.0,70.84,0.05,,1.309,12.103,0.181,0.556,22.498,49.65,1.73,15.66,3.557,1064.7,1135.1,1272.2,1500.3,31.389,,-19.286,"<a href=""/data/SPITZER/S4G/galaxies/NGC4694.html"">Data Access</a>",-0.9600052891284939,-0.2051538732738389,0.1905301370546355,212011000,1277
NGC4698,192.095456,8.487359,171.9,-17.6,0.19,211.5,-18.2,0.202,166.6,-12.5,0.236,208.9,-21.3,0.227,10.176,0.001,10.664,0.002,0.045914,0.009152,0.001808,0.064475,0.012034,0.002588,4.501,4.176,4.447,4.147,-21.693,-21.205,10.848,23.65,6.741,13.0,32.6,24.4,Sab,,,,,1.7,1.0,3.0,0.5,1.581,0.02,0.39,0.028,169.98,,,11.555,0.113,9.587,0.277,0.44,0.91,0.48,0.94,192.8,3.41,132.69,8.62,0.224,0.009,14.072,0.176,,1008.3,3.0,999.0,50.0,1008.3,2.2,0.112,0.414,73.44,0.06,0.427,1.576,11.019,0.343,0.805,22.71,201.13,3.6,14.013,2.994,878.4,952.5,1085.7,1329.5,31.03,31.895,-20.011,"<a href=""/data/SPITZER/S4G/galaxies/NGC4698.html"">Data Access</a>",-0.9670914340741332,-0.2072462175366829,0.1475912038611194,212011320,1278
UGC00132,3.503175,12.963801,59.7,15.1,0.658,77.5,17.5,0.674,53.8,15.5,0.661,72.9,16.5,0.669,14.585,0.001,15.009,0.001,0.065473,0.011827,0.001407,0.155633,0.012187,0.001513,2.79,2.782,2.804,2.786,-17.335,-16.911,9.058,,,,,,Sd,B,,,,7.9,0.5,,,1.121,0.043,0.488,0.027,16.33,,,15.452,0.461,,,,,,,61.59,3.65,,,,,,,,1679.0,10.5,1676.1,34.8,1678.8,7.1,0.45,0.887,90.0,0.83,,1.143,14.111,,,23.811,61.59,,,,1907.7,1815.8,1718.9,1332.0,32.018,,-17.907,"<a href=""/data/SPITZER/S4G/galaxies/UGC00132.html"">Data Access</a>",0.9726910329965349,0.0595464348935092,0.2243354105343308,232021113,1867
UGC00156,4.19997,12.35026,71.2,-2.8,0.518,84.8,-10.0,0.451,64.6,-1.7,0.536,77.9,-4.5,0.497,14.176,0.001,14.564,0.055,0.064203,0.012935,0.002007,0.10152,0.017993,0.002018,2.706,2.722,2.598,2.615,-16.831,-16.443,8.829,15.9,,15.9,15.9,15.9,I,,,,D,9.8,1.0,9.0,0.7,1.01,0.048,0.249,0.031,8.5,,,14.803,0.446,12.829,0.109,-0.083,0.576,-0.083,0.691,51.98,1.52,,,,,14.932,0.094,,1134.7,4.6,1167.0,28.0,1135.6,4.8,0.55,0.462,65.36,0.04,1.89,1.052,13.791,-0.221,0.384,23.081,57.18,1.7,14.892,1.101,1361.6,1269.6,1171.7,789.5,31.181,,-17.39,"<a href=""/data/SPITZER/S4G/galaxies/UGC00156.html"">Data Access</a>",0.9742349899372792,0.0715428326663907,0.2138873710062806,232021132,1868
UGC00191,5.020877,10.879588,62.2,-32.1,0.361,74.2,-24.2,0.364,51.7,-28.8,0.292,69.7,-30.7,0.345,14.194,0.001,14.577,0.001,0.067134,0.012948,0.004741,0.140519,0.013334,0.005393,3.052,2.965,3.02,2.937,-16.813,-16.43,8.818,15.9,,15.9,15.9,15.9,Sm,,R,,,8.6,0.9,9.0,0.4,1.293,0.069,0.072,0.05,150.0,23.721,0.311,13.989,0.177,12.759,0.109,-0.21,0.44,-0.12,0.44,50.3,1.87,,,,,14.56,0.096,,1143.5,3.8,,,1143.5,3.8,0.499,0.134,35.86,0.02,1.748,1.337,13.355,-0.31,0.301,24.048,85.87,3.62,14.538,1.183,1363.4,1272.1,1171.3,797.9,31.181,,-17.826,"<a href=""/data/SPITZER/S4G/galaxies/UGC00191.html"">Data Access</a>",0.978257860120052,0.0859456627488334,0.188745601718293,232031201,1869
