object,ra,dec,sma1_25p5,pa1_25p5,ellip1_25p5,sma1_26p5,pa1_26p5,ellip1_26p5,sma2_25p5,pa2_25p5,ellip2_25p5,sma2_26p5,pa2_26p5,ellip2_26p5,mag1,emag1,mag2,emag2,sky1,ssky1,esky1,sky2,ssky2,esky2,c31_1,c42_1,c31_2,c42_2,mabs1,mabs2,mstar,dmean,dstd,dmin,dmax,dmed,type,bar,ring,multiple,compactness,t,e_t,lc,e_lc,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,ube,bve,vmaxg,e_vmaxg,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,lambda,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,mod0,mabs,summary,x,y,z,spt_ind,cntr
ESO572-049,180.851571,-19.521355,63.8,70.6,0.77,80.4,68.8,0.771,61.5,71.0,0.787,73.5,70.3,0.782,14.684,0.005,15.08,0.006,0.045574,0.012064,0.001448,7.8E-4,0.012239,0.001544,3.083,3.016,2.914,2.918,-17.313,-16.917,9.028,25.086,4.187,21.0,31.6,23.8,SBc,B,,,,5.8,0.6,6.0,0.5,1.31,0.027,0.714,0.022,71.11,22.092,0.604,14.692,0.224,13.395,0.054,,,,0.88,66.19,1.38,,,,,15.18,0.178,,1661.1,4.2,1647.5,42.8,1660.9,3.1,0.2,1.209,86.49,0.26,1.11,1.3,13.275,,,23.63,66.31,1.38,14.917,1.642,1408.5,1503.2,1585.3,2004.0,31.81,32.5,-18.534,"<a href=""/data/SPITZER/S4G/galaxies/ESO572-049.html"">Data Access</a>",-0.9424129115103744,-0.0140078485829453,-0.3341581727215668,120010313,269
ESO573-003,183.230184,-20.420114,,,,,,,,,,,,,,,,,0.046157,0.012673,0.002191,0.113098,0.013729,0.001559,,,,,,,,24.0,,24.0,24.0,24.0,IB,B,,,,9.8,0.6,8.8,0.5,1.09,0.044,0.313,0.021,125.29,,,15.03,0.384,12.68,0.074,,,,,43.37,1.84,,,,,15.105,0.182,,1544.6,5.2,1546.0,1.0,1546.0,0.7,0.265,0.581,74.03,0.06,1.885,1.102,14.184,,,23.577,45.11,1.92,15.044,0.86,1293.3,1390.7,1469.3,1884.7,31.697,,-17.513,"<a href=""/data/SPITZER/S4G/galaxies/ESO573-003.html"">Data Access</a>",-0.9356706216293207,-0.0528065853734625,-0.348901063857644,120320310,270
ESO575-061,197.064135,-21.00136,59.3,-3.7,0.215,,,,55.5,-1.7,0.844,58.2,-2.8,0.768,14.511,0.086,16.18,0.012,0.076129,0.018932,0.008499,0.095334,0.014775,0.002323,4.058,3.954,3.09,3.017,-17.827,-16.159,10.175,29.355,5.19,20.5,37.2,30.6,SBcd,B,,,,7.0,0.9,,,1.279,0.033,0.957,0.027,1.78,23.16,1.002,16.002,0.278,14.458,0.103,,,,0.9,64.84,0.86,,,,,15.967,0.226,,1646.5,8.4,1687.1,57.5,1647.4,7.2,0.453,1.663,90.0,0.83,,1.283,13.881,,,24.284,64.84,,15.141,1.26,1412.5,1520.0,1585.9,1956.6,31.863,32.7,-17.982,"<a href=""/data/SPITZER/S4G/galaxies/ESO575-061.html"">Data Access</a>",-0.8924731765083704,-0.2739491900503773,-0.3583901093554357,120302211,271
ESO576-001,197.598995,-21.684189,38.0,-22.2,0.462,42.2,-20.7,0.409,35.6,-21.6,0.446,41.7,-17.5,0.446,13.405,0.001,13.841,0.001,0.08076,0.012401,0.00157,0.211134,0.012846,0.001849,3.123,3.221,3.118,3.182,-21.257,-20.821,10.636,85.6,25.092,45.1,121.0,80.9,Sb,,,,,3.1,1.3,,,1.073,0.039,0.358,0.028,159.25,21.758,0.312,14.848,0.241,12.804,0.064,,,,,209.0,3.4,,,,,16.83,0.266,,2884.0,7.6,7138.2,39.5,2884.0,7.6,0.474,0.517,68.25,0.05,,1.104,13.836,,,23.367,225.02,3.72,16.785,2.949,2648.1,2756.3,2819.8,3190.8,33.068,34.56,-19.232,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-001.html"">Data Access</a>",-0.8857426478842457,-0.2809570188093489,-0.3694903453417535,120302332,272
ESO576-003,197.648723,-21.748127,70.0,-82.8,0.611,80.2,-85.4,0.616,65.0,-84.0,0.608,79.4,-86.4,0.645,13.567,0.001,13.949,0.001,0.080107,0.011982,0.001289,0.222504,0.012897,0.001861,3.096,3.044,3.084,3.033,-19.122,-18.74,9.742,34.5,7.301,28.4,46.0,31.3,SBcd,B,,,,6.7,1.0,5.5,0.6,1.292,0.031,0.441,0.03,91.4,22.38,0.373,14.136,0.305,12.643,0.077,,,,0.89,95.64,1.42,,,,,14.802,0.158,13.381,2960.5,4.0,2964.9,4.4,2962.5,2.6,0.47,0.783,70.88,0.05,1.205,1.319,12.872,,,23.467,101.23,1.52,14.751,1.879,2726.4,2834.7,2898.1,3269.1,33.129,32.27,-20.256,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-003.html"">Data Access</a>",-0.8851049975335349,-0.281600480104052,-0.3705270745118751,120302332,273
ESO576-005,197.824856,-19.828256,54.0,-71.1,0.512,66.6,61.4,0.147,46.6,-62.2,0.742,56.2,-60.8,0.738,14.43,0.223,15.226,0.002,0.07776,0.013313,0.005618,0.100039,0.011519,0.002294,3.337,3.321,2.61,2.604,-18.472,-17.676,9.787,,,,,,SBd,B,,,,8.0,0.5,7.0,3.2,1.143,0.033,0.631,0.028,113.47,22.867,0.574,15.488,0.291,13.93,0.077,,,,,133.09,9.55,,,,,16.04,0.092,,2753.0,8.5,2823.1,39.0,2756.2,11.9,0.385,1.142,90.0,0.83,1.53,1.154,13.954,,,23.675,133.09,,15.214,1.26,2526.2,2633.4,2701.4,3064.9,32.973,,-19.019,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-005.html"">Data Access</a>",-0.8955562326971602,-0.2879602680203202,-0.3392018840144246,120302232,274
ESO576-008,198.078717,-19.445963,52.0,-60.8,0.445,,,,36.8,-26.5,0.591,40.7,-28.8,0.549,13.687,0.007,14.226,0.002,0.082513,0.018527,0.006925,0.103566,0.018373,0.002209,3.124,3.082,2.595,2.542,-19.249,-18.711,9.908,,,,,,S0,,,,,-1.6,1.7,,,1.123,0.053,0.579,0.047,150.8,21.093,0.576,14.967,0.203,13.021,0.092,,,,,67.12,8.36,,,,,17.177,0.41,,2816.0,18.1,2702.1,41.8,2798.0,31.6,0.414,0.0,90.0,0.83,,1.144,14.511,,,24.224,67.12,,16.351,1.84,2569.6,2676.7,2745.4,3106.5,33.005,,-18.494,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-008.html"">Data Access</a>",-0.8964031689174122,-0.2926212138016014,-0.3329176835016409,120302201,275
ESO576-011,198.271297,-19.976962,105.0,0.1,0.796,116.9,1.1,0.767,96.1,0.5,0.786,114.6,0.9,0.765,12.699,0.001,13.091,0.001,0.071113,0.014461,0.00204,0.09896,0.014024,0.00153,2.963,3.052,2.98,3.079,-20.137,-19.745,10.155,36.911,4.016,31.0,45.8,35.9,SBc,B,,,,5.8,0.7,5.0,0.5,1.493,0.019,0.807,0.03,0.34,22.376,0.798,14.072,0.178,12.243,0.028,,,,0.9,141.71,1.73,,,,,14.612,0.184,13.032,2758.2,6.0,2759.0,5.3,2758.6,2.8,0.391,1.353,90.0,0.83,1.0,1.497,12.315,,,23.762,141.71,,13.786,1.472,2528.9,2636.5,2703.6,3065.9,32.973,32.46,-20.658,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-011.html"">Data Access</a>",-0.8924463322328751,-0.2946525064582289,-0.3416422756656035,120302233,276
ESO576-017,198.804007,-17.966628,49.1,-57.2,0.124,57.2,-73.1,0.097,41.9,-76.2,0.091,54.6,-70.3,0.095,14.248,0.001,14.64,0.007,0.076428,0.012023,0.001921,0.107506,0.012217,0.002222,2.759,2.757,2.72,2.727,-18.681,-18.289,9.573,,,,,,SABc,B,,,,7.0,0.6,6.0,1.1,1.109,0.039,0.051,0.024,,23.685,0.325,14.755,0.186,,,,,,,16.31,0.84,,,,,16.06,0.21,,2773.5,6.5,2997.7,39.5,2779.3,25.7,0.402,0.093,27.69,0.02,1.3,1.145,14.25,,,23.938,35.09,1.94,16.039,1.789,2556.9,2663.4,2734.9,3087.4,33.005,,-18.755,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-017.html"">Data Access</a>",-0.9004657386983451,-0.3066138163118029,-0.3084629979059977,120333000,277
ESO576-026,199.645098,-21.299448,64.6,61.3,0.754,71.9,58.0,0.678,63.8,65.1,0.8,77.1,60.5,0.78,14.583,0.004,15.01,0.002,0.077026,0.012365,0.001735,0.08973,0.012767,0.002245,2.876,2.866,2.738,2.731,-17.821,-17.394,9.255,30.26,3.027,25.1,34.1,31.25,SBcd,B,,,,6.8,1.0,,,1.285,0.03,0.773,0.022,65.73,23.331,0.681,15.675,0.246,13.778,0.046,,,,0.88,78.09,1.35,,,,,16.41,0.092,,1946.0,4.6,1953.0,60.0,1946.0,3.2,0.624,1.352,87.5,0.36,,1.312,13.693,,,24.332,78.17,1.35,16.047,2.354,1714.9,1823.9,1886.2,2247.6,32.208,,-18.516,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-026.html"">Data Access</a>",-0.8774636878988612,-0.3132292149221818,-0.363242254340218,120303120,278
ESO576-032,199.966741,-22.278931,89.8,-43.4,0.268,108.5,-33.2,0.258,83.4,-42.8,0.293,101.5,-42.6,0.294,12.201,0.001,12.582,0.001,0.076567,0.014411,0.003529,0.07288,0.013545,0.002694,2.412,2.453,2.404,2.45,-20.118,-19.737,10.139,29.1,11.009,18.1,46.0,30.5,Sc,B,,,,5.8,0.7,4.5,0.6,1.336,0.021,0.155,0.019,142.9,22.366,0.305,13.163,0.218,11.515,0.088,,,,0.86,73.0,1.19,,,,,15.72,0.092,12.435,3055.0,7.9,1639.2,34.5,3055.0,7.9,0.461,0.273,46.59,0.02,1.034,1.373,12.415,,,23.28,100.49,1.71,15.698,3.283,2821.6,2931.3,2990.8,3354.3,33.188,,-20.773,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-032.html"">Data Access</a>",-0.8697273743766214,-0.3159832575845284,-0.3791159125995874,120303121,279
ESO576-040,200.182506,-22.051112,83.7,-21.6,0.754,90.5,-23.8,0.668,79.7,-21.5,0.766,93.9,-21.5,0.765,13.872,0.001,14.272,0.001,0.066293,0.013651,0.002007,0.081002,0.013359,0.002189,3.937,3.63,3.947,3.65,-17.902,-17.502,9.266,22.633,4.506,16.0,34.0,21.35,SBcd,B,,,,6.7,0.9,,,1.345,0.026,0.58,0.028,158.5,22.361,0.571,14.654,0.209,12.982,0.057,,,,0.97,76.23,1.18,,,,,14.528,0.14,,2085.6,3.7,2095.9,17.4,2086.0,3.0,0.488,1.024,77.98,0.08,,1.367,13.134,,,23.977,77.94,1.22,14.448,1.314,1853.7,1963.3,2023.2,2385.0,32.341,31.59,-19.207,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-040.html"">Data Access</a>",-0.8699392864097775,-0.3197737954456916,-0.3754335596441855,120303121,280
ESO576-050,201.174175,-19.695834,84.8,-2.3,0.326,88.9,-15.6,0.261,79.9,2.3,0.359,82.2,1.1,0.329,12.746,0.009,13.14,0.005,0.087838,0.016708,0.003491,0.230433,0.017569,0.001865,2.902,2.914,2.886,2.873,-19.217,-18.822,9.789,24.688,5.996,18.0,35.4,23.95,Sc,B,,,,5.1,0.4,3.0,0.4,1.456,0.021,0.56,0.028,0.2,23.245,0.504,13.599,1.353,11.725,0.124,,,,0.89,79.03,0.94,,,,,14.415,0.1,,1975.7,5.2,1973.6,8.5,1975.1,3.2,0.367,0.929,78.83,0.09,0.74,1.468,12.292,,,23.577,80.56,0.97,14.33,2.038,1751.7,1860.4,1925.0,2274.1,32.254,31.28,-19.961,"<a href=""/data/SPITZER/S4G/galaxies/ESO576-050.html"">Data Access</a>",-0.8779316166139205,-0.3400720669695724,-0.3370268028164983,120303330,281
